start	end	text
0	9640	Hello everybody, my name is John and welcome to a brand new series on the traction channel.
9640	12600	In this series we'll be working our way through all of the available circuits on a settle
12600	17040	course or competition, helping you find those extra seconds you have been painfully seeking.
17040	21080	For our first edition, we'll be taking a closer look at the circuit to Barcelona Catalonia.
21080	23920	This track is a great place to start, as it's one of the most commonly used in Europe
23920	26120	for all disciplines of high profile motorsport.
26120	29600	It's also a circuit you can find in pretty much any racing game or sim, so it's a good one
29600	30600	to know inside out.
30600	34120	For this video, we have selected the Porsche 911 as it suits the tight and to a signature
34120	35120	of the venue well.
35120	38080	Don't forget that if you want to see other car and track combinations, you can subscribe
38080	42080	to the traction channel and hit the notification bell to see them as they're released.
42080	47760	So without further ado, let's jump into the analysis.
47760	51200	So as the lap begins, you have plenty of time to sort yourself out for turn one.
51200	54160	Keep an eye out for the braking markers and the fence and get right up onto the curb
54160	57480	and runoff area on the left hand side before the corner, as long as you keep two wheels
57480	59280	inside the white line.
59280	63200	Take just before the 100 board and change down through all the gears to second.
63200	67000	You can roll off the brake as you approach the apex, just to let the car turn freely,
67000	70320	using the curb on the inside but watching out for the little race block.
70320	73480	Once you get through, grab third gear and slightly feather the throttle as you get through
73480	74480	turn two.
74480	78080	Again, it's a similar situation with the curbs, you want to use the standard curb without
78080	79560	hitting the race block.
79560	82320	Throughout this section, it's mainly a case of modulating your throttle input to keep
82320	84520	the car on the perfect line and well balanced.
84520	87840	If you can, try and stay to the left of the circuit in order to prepare yourself for
87840	89600	the infamous turn three.
89600	92680	As you pass the small section of black runoff that lies between the grass areas on the
92680	96480	left of the circuit, turn in and short shift to fourth, staying on the throttle.
96480	99360	This corner is incredibly long, so don't worry about being a reasonable distance from
99360	102520	the apex of the beginning, it's then a case of rolling off the throttle based on how
102520	106400	much grip you have underneath you, whilst aiming to hit the apex midway through the corner.
106400	109520	Once you get there and ideally kiss the curb on the inside, put your foot down fully
109520	111320	and let the car do the work.
111320	114320	Open up your steering as you head to the corner exit and use all of the room you need in
114320	116080	order to carry maximum speed.
116080	118320	Keep your car way over to the left for turn four.
118320	121240	It might seem mad, but you can use a huge amount of the runoff area in this particular
121240	122240	section.
122240	125680	As long as you keep two wheels on the curb, you won't be penalised somehow, so I suggest
125680	126680	making the most of it.
126680	129520	Start your braking just before you cross the white strip that runs across the runoff
129520	131480	area, just below the bridge.
131480	134920	You want to trail brake here, turning in and shifting down to second.
134920	138120	As you get closer, you want to roll off the brake, allowing the front of the car to turn
138120	139120	in nicely.
139120	142560	I should emphasise that this technique works well in cars such as the Porsche, Audi or
142560	145280	BMW, but not necessarily every car.
145280	148840	So if you've taken something like a Bentley to Spain, then I can only apologise, you might
148840	152080	need to sacrifice a little bit of lap time and scrub off slightly more speed.
152080	155440	But anyway, as I was saying, you get the nose of the car in and you want to aim to hit
155440	158320	the apex midway through the corner, touching the inside curb.
158320	161080	Get on the power as early as possible and open up your steering.
161080	163440	Just be careful for oversteer here, which could be quite common.
163440	166480	Use as much as the track as you need on the exit whilst keeping it pinned, and quickly
166480	169480	haul yourself back over to the right to prepare for turn five.
169480	172680	It's very tricky to point out a specific reference point here for braking because there
172680	174440	isn't really much to go on.
174440	177520	There's a tower on the left that lines up reasonably well with the ideal braking point,
177520	180680	but if you were looking at that tower whilst approaching the braking zone, you're definitely
180680	182200	doing something wrong.
182200	185880	With this one, it's just a case of practise and getting used to how it feels.
185880	187640	Change down to second and turn in.
187640	191600	With this corner, you want to just miss the inside on the entry in order to cut back.
191600	194680	Get the late apex and get on the power as early as possible.
194680	197920	Use most of the exit curb, just watch out for track limits as always.
