start	end	text
0	5200	So now that traction is well and truly back, how about another Assetto Corsa Competitzione
5200	6200	track guide?
6200	9920	Yes, we've seen all of the comments coming through, asking us to complete the set.
9920	13200	So whilst we continue to get back on our feet, let's start with the easier of the two
13200	14520	remaining circuits.
14520	20240	The Red Bull Ring arrived on ACC in January 2024, as part of the purchasable GT2 DLC
20240	21240	pack.
21240	25160	It's a circuit that always produces superb racing, and whilst it might appear an easy
25160	30120	out to master, there is time hidden away in the curves that you might not quite be exploiting.
30120	35080	So here is our traction track guide, using the relatively new Ferrari 296 GT3.
35080	40240	As always, this lap was set in hot lap mode, in relatively cool conditions around 20 degrees.
40240	44360	Use it not as an exact recommendation for how hard to attack every single lap, but as
44360	48040	a way of showing you what might be possible in each corner, and to understand the sorts
48040	52000	of lines and techniques that may well help you extract more lap time than you're currently
52000	53000	managing.
53000	73000	This track is all about making the most of the available space, and it's perfectly legal
73000	74720	here to be this far left.
74720	78160	You just need to make sure that any small part of your car is touching the red and white
78160	81840	stripy curve, even if it's just one centimetre of one tire.
81840	86440	Just down to second gear, and don't turn in until just after the 50 board, easing off
86440	88360	the brake pedal as you do turn.
88360	92480	This is where the car can get very unstable, so just be careful not to be too aggressive
92480	95720	with your inputs, and make sure you are rolling off the brake.
95720	99680	Aim to put your right front wheel on the stripy apex curve, but avoid the yellow hump on
99680	100680	the inside.
100680	105320	Hitting this will be disastrous in most car and set up combos, so in a racing situation,
105320	108520	I'd recommend taking a little bit less risk than in a hot lap.
108520	112200	It's all about getting on the power early, and as you can see, I'm already squeezing
112200	116080	the throttle pedal as soon as I turn into the corner, and then I'm on full throttle by
116080	117160	the apex.
117160	119320	This will give you a good run all the way up the hill.
119320	123240	You can carry the speed out of turn one by using all of the extra road available, again,
123240	127400	as long as any of your right side rubber is touching the stripy curve, it's legal, so
127400	132000	you can in fact run your left wheels over the yellow sausage curve as it's fairly flat.
132000	135800	Take the shortest line up the hill, straight lining these subtle curves.
135880	140520	Turn two is a flat out kink to the left, that basically sets up the braking for turn three,
140520	142840	so use this to pull your car fully to the left.
142840	147000	I put my wheels over the white line so that I'm in the perfect spot for braking into turn
147000	148000	three.
148000	151960	Again, as long as your inside tires touch the stripy curve, it's legal, so break nice
151960	155520	and light in a straight line all the way over to the left of the road.
155520	159760	Here, I'm stamping on the brake just before the 100 metre line, that steep elevation
159760	162160	will dramatically increase stopping power.
162160	165840	This hairpin is a first gear corner, I wait until I've almost reached the end of the
165840	171240	curve, then I slowly roll off the brake pedal as I turn in, continuing to apply a bit of pressure
171240	174920	just to keep the nose down an optimal grip from the front tires.
174920	179400	Trail braking is an incredibly important technique around here, in fact, nearly every corner
179400	181920	requires it if you want to get a fast lap time.
181920	186120	Every time I say the term rolling off the brake, I essentially mean trail braking, and
186120	189800	if you want to understand what I mean by that exactly and how to do it, check out our
189800	192680	full guide to trail braking via the link on screen now.
192680	196880	It's a similar technique here to turn one, but at a slower speed, of course.
196880	200880	You want to be getting back on the power before you even reach the apex, and that apex
200880	204840	is on the stripy inside curve, but avoiding the yellow hump yet again.
204840	208440	Open out your steering and let the car run out wide on exit so that you can make use of
208440	209840	that early throttle application.
209840	213800	I actually think you can go wider on exit than I did on this lap if you wish, so feel
213800	217560	free to be even earlier than I was on the throttle and run all the way over the yellow
217560	219200	sausage curve to allow this.
219200	223880	As always, it's just about keeping in some small contact with that stripy curve in order
223880	225440	for the lap to remain legal.
225440	228520	I then straight line the next bit on my way towards turn four.
228520	232800	Even though it's also a tight right hander with a left-kink on entry, this one is downhill,
232800	234880	so it feels like a very different corner.
234880	239560	For the third time in three braking zones, use the 100m board as your line of reference,
239560	241400	slowing down just before it.
241400	244760	Positioning is the same as always, all the way over the curve on the left, and trail
244760	247160	braking here is more important than ever.
247160	251240	As you shift down to first, slowly roll off that brake pedal and start turning in before
251240	253640	you approach the end of the curve on the left.
253640	258240	This one with its off camber and downhill nature is very easy to get wrong and run wide,
258240	262280	so I'm turning in fairly early here just to ensure that I make it to the apex curve.
262280	266040	This is probably one of the corners where the aliens will find a couple of tents or so
266040	268080	by opening it out that little bit more.
268080	271960	You can see that I actually go to turn in ever so slightly early, so then make a small
